Fondsposition per,"10.Dez.2025"
 
Emittententicker,Name,Sektor,Anlageklasse,Marktwert,Gewichtung (%),Nominalwert,Nominale,Kurs,Standort,Börse,Marktwährung
"GBLB","GROUPE BRUXELLES LAMBERT NV","Financials","Aktien","4.721.466,75","0,05","4.721.466,75","64.545,00","73,15","Belgien","Nyse Euronext - Euronext Brussels","EUR"
"KCR","KONECRANES","Industrie","Aktien","4.668.254,80","0,05","4.668.254,80","52.072,00","89,65","Finnland","Nasdaq Omx Helsinki Ltd.","EUR"
"DIM","SARTORIUS STEDIM BIOTECH SA","Gesundheitsversorgung","Aktien","4.578.832,00","0,05","4.578.832,00","21.856,00","209,50","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"NKT","NKT","Industrie","Aktien","4.568.826,57","0,05","4.568.826,57","43.253,00","105,63","Dänemark","Omx Nordic Exchange Copenhagen A/S","DKK"
"TEN","TENARIS SA","Energie","Aktien","4.565.669,20","0,05","4.565.669,20","264.830,00","17,24","Italien","Borsa Italiana","EUR"
"SCA B","SVENSKA CELLULOSA B","Materialien","Aktien","4.559.152,72","0,05","4.559.152,72","411.183,00","11,09","Schweden","Nasdaq Omx Nordic","SEK"
"BNR","BRENNTAG","Industrie","Aktien","4.551.485,91","0,05","4.551.485,91","95.439,00","47,69","Deutschland","Xetra","EUR"
"KBX","KNORR BREMSE AG","Industrie","Aktien","4.545.130,20","0,05","4.545.130,20","50.167,00","90,60","Deutschland","Xetra","EUR"
"IG","ITALGAS","Versorger","Aktien","4.538.361,25","0,05","4.538.361,25","490.899,00","9,24","Italien","Borsa Italiana","EUR"
"AUTO","AUTO TRADER GROUP PLC","Kommunikation","Aktien","4.538.622,25","0,05","4.538.622,25","662.002,00","6,86","Vereinigtes Königreich","London Stock Exchange","GBP"
"STB","STOREBRAND","Financials","Aktien","4.537.245,66","0,05","4.537.245,66","324.482,00","13,98","Norwegen","Oslo Bors Asa","NOK"
"BTRW","BARRATT REDROW PLC","Zyklische Konsumgüter ","Aktien","4.530.144,18","0,05","4.530.144,18","1.093.731,00","4,14","Vereinigtes Königreich","London Stock Exchange","GBP"
"ELISA","ELISA","Kommunikation","Aktien","4.509.265,80","0,05","4.509.265,80","120.055,00","37,56","Finnland","Nasdaq Omx Helsinki Ltd.","EUR"
"TIT","TELECOM ITALIA","Kommunikation","Aktien","4.493.624,88","0,05","4.493.624,88","9.238.538,00","0,49","Italien","Borsa Italiana","EUR"
"NEM","NEMETSCHEK","IT","Aktien","4.489.337,35","0,05","4.489.337,35","49.037,00","91,55","Deutschland","Xetra","EUR"
"INDU C","INDUSTRIVARDEN SERIES","Financials","Aktien","4.481.548,45","0,05","4.481.548,45","121.904,00","36,76","Schweden","Nasdaq Omx Nordic","SEK"
"DCC","DCC PLC","Industrie","Aktien","4.381.899,19","0,05","4.381.899,19","76.138,00","57,55","Vereinigtes Königreich","London Stock Exchange","GBP"
"BEIJ B","BEIJER REF CLASS B","Industrie","Aktien","4.374.513,49","0,05","4.374.513,49","315.022,00","13,89","Schweden","Nasdaq Omx Nordic","SEK"
"INDT","INDUTRADE","Industrie","Aktien","4.359.776,78","0,05","4.359.776,78","201.031,00","21,69","Schweden","Nasdaq Omx Nordic","SEK"
"FRES","FRESNILLO PLC","Materialien","Aktien","4.345.289,32","0,05","4.345.289,32","136.905,00","31,74","Vereinigtes Königreich","London Stock Exchange","GBP"
"JMT","JERONIMO MARTINS SA","Nichtzyklische Konsumgüter","Aktien","4.333.034,94","0,05","4.333.034,94","218.179,00","19,86","Portugal","Nyse Euronext - Euronext Lisbon","EUR"
"ZAL","ZALANDO","Zyklische Konsumgüter ","Aktien","4.285.851,08","0,05","4.285.851,08","184.417,00","23,24","Deutschland","Xetra","EUR"
"ALE","ALLEGRO SA","Zyklische Konsumgüter ","Aktien","4.267.446,62","0,05","4.267.446,62","577.915,00","7,38","Polen","Warsaw Stock Exchange/Equities/Main Market","PLN"
"LTMC","LOTTOMATICA GROUP","Zyklische Konsumgüter ","Aktien","4.256.944,56","0,05","4.256.944,56","195.452,00","21,78","Italien","Borsa Italiana","EUR"
"SQN","SWISSQUOTE GROUP HOLDING SA","Financials","Aktien","4.229.212,69","0,05","4.229.212,69","8.292,00","510,03","Schweiz","SIX Swiss Exchange","CHF"
"BEZ","BEAZLEY PLC","Financials","Aktien","4.208.425,41","0,05","4.208.425,41","469.748,00","8,96","Vereinigtes Königreich","London Stock Exchange","GBP"
"ABVX","ABIVAX SA","Gesundheitsversorgung","Aktien","4.132.410,00","0,04","4.132.410,00","35.934,00","115,00","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"AVOL","AVOLTA AG","Zyklische Konsumgüter ","Aktien","4.130.892,63","0,04","4.130.892,63","82.375,00","50,15","Schweiz","SIX Swiss Exchange","CHF"
"YAR","YARA INTERNATIONAL","Materialien","Aktien","4.121.642,68","0,04","4.121.642,68","126.885,00","32,48","Norwegen","Oslo Bors Asa","NOK"
"SPX","SPIRAX GROUP PLC","Industrie","Aktien","4.116.396,80","0,04","4.116.396,80","53.181,00","77,40","Vereinigtes Königreich","London Stock Exchange","GBP"
"HSX","HISCOX LTD","Financials","Aktien","4.087.623,32","0,04","4.087.623,32","271.264,00","15,07","Vereinigtes Königreich","London Stock Exchange","GBP"
"ENT","ENTAIN PLC","Zyklische Konsumgüter ","Aktien","4.026.702,28","0,04","4.026.702,28","463.188,00","8,69","Vereinigtes Königreich","London Stock Exchange","GBP"
"REC","RECORDATI INDUSTRIA CHIMICA E FARM","Gesundheitsversorgung","Aktien","4.016.154,80","0,04","4.016.154,80","84.980,00","47,26","Italien","Borsa Italiana","EUR"
"AM","DASSAULT AVIATION SA","Industrie","Aktien","3.982.572,00","0,04","3.982.572,00","14.685,00","271,20","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"IGG","IG GROUP HOLDINGS PLC","Financials","Aktien","3.923.253,73","0,04","3.923.253,73","299.205,00","13,11","Vereinigtes Königreich","London Stock Exchange","GBP"
"FHZN","FLUGHAFEN ZUERICH AG","Industrie","Aktien","3.912.450,16","0,04","3.912.450,16","15.170,00","257,91","Schweiz","SIX Swiss Exchange","CHF"
"KESKOB","KESKO CLASS B","Nichtzyklische Konsumgüter","Aktien","3.910.792,50","0,04","3.910.792,50","214.290,00","18,25","Finnland","Nasdaq Omx Helsinki Ltd.","EUR"
"GALE","GALENICA AG","Gesundheitsversorgung","Aktien","3.906.747,04","0,04","3.906.747,04","39.789,00","98,19","Schweiz","SIX Swiss Exchange","CHF"
"LPP","LPP SA","Zyklische Konsumgüter ","Aktien","3.888.131,74","0,04","3.888.131,74","977,00","3.979,67","Polen","Warsaw Stock Exchange/Equities/Main Market","PLN"
"BIM","BIOMERIEUX SA","Gesundheitsversorgung","Aktien","3.874.337,50","0,04","3.874.337,50","37.075,00","104,50","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"LAND","LAND SECURITIES GROUP REIT PLC","Immobilien","Aktien","3.872.495,76","0,04","3.872.495,76","577.072,00","6,71","Vereinigtes Königreich","London Stock Exchange","GBP"
"RILBA","RINGKJOBING LANDBOBANK","Financials","Aktien","3.836.711,92","0,04","3.836.711,92","19.737,00","194,39","Dänemark","Omx Nordic Exchange Copenhagen A/S","DKK"
"HWDN","HOWDEN JOINERY GROUP PLC","Industrie","Aktien","3.830.041,01","0,04","3.830.041,01","413.262,00","9,27","Vereinigtes Königreich","London Stock Exchange","GBP"
"KGX","KION GROUP AG","Industrie","Aktien","3.828.213,60","0,04","3.828.213,60","57.828,00","66,20","Deutschland","Xetra","EUR"
"SYENS","SYENSQO NV","Materialien","Aktien","3.818.923,68","0,04","3.818.923,68","55.637,00","68,64","Belgien","Nyse Euronext - Euronext Brussels","EUR"
"BRBY","BURBERRY GROUP PLC","Zyklische Konsumgüter ","Aktien","3.817.654,90","0,04","3.817.654,90","279.330,00","13,67","Vereinigtes Königreich","London Stock Exchange","GBP"
"LHA","DEUTSCHE LUFTHANSA AG","Industrie","Aktien","3.796.682,22","0,04","3.796.682,22","477.090,00","7,96","Deutschland","Xetra","EUR"
"DHER","DELIVERY HERO","Zyklische Konsumgüter ","Aktien","3.795.754,95","0,04","3.795.754,95","167.583,00","22,65","Deutschland","Xetra","EUR"
"P911","DR ING HC F PORSCHE PRF AG","Zyklische Konsumgüter ","Aktien","3.791.700,00","0,04","3.791.700,00","82.500,00","45,96","Deutschland","Xetra","EUR"
"ELI","ELIA GROUP SA","Versorger","Aktien","3.790.342,10","0,04","3.790.342,10","37.417,00","101,30","Belgien","Nyse Euronext - Euronext Brussels","EUR"
"JDEP","JDE PEETS NV","Nichtzyklische Konsumgüter","Aktien","3.783.795,84","0,04","3.783.795,84","119.438,00","31,68","Niederlande","Euronext Amsterdam","EUR"
"GJF","GJENSIDIGE FORSIKRING","Financials","Aktien","3.728.004,85","0,04","3.728.004,85","152.072,00","24,51","Norwegen","Oslo Bors Asa","NOK"
"UHR","THE SWATCH GROUP AG","Zyklische Konsumgüter ","Aktien","3.668.161,39","0,04","3.668.161,39","21.113,00","173,74","Schweiz","SIX Swiss Exchange","CHF"
"PSN","PERSIMMON PLC","Zyklische Konsumgüter ","Aktien","3.651.385,89","0,04","3.651.385,89","244.730,00","14,92","Vereinigtes Königreich","London Stock Exchange","GBP"
"RMV","RIGHTMOVE PLC","Kommunikation","Aktien","3.643.816,62","0,04","3.643.816,62","598.621,00","6,09","Vereinigtes Königreich","London Stock Exchange","GBP"
"R3NK","RENK GROUP AG","Industrie","Aktien","3.626.248,34","0,04","3.626.248,34","64.766,00","55,99","Deutschland","Xetra","EUR"
"BBY","BALFOUR BEATTY PLC","Industrie","Aktien","3.624.114,04","0,04","3.624.114,04","449.921,00","8,06","Vereinigtes Königreich","London Stock Exchange","GBP"
"EVD","CTS EVENTIM AG","Kommunikation","Aktien","3.607.718,40","0,04","3.607.718,40","45.552,00","79,20","Deutschland","Xetra","EUR"
"ACKB","ACKERMANS & VAN HAAREN NV","Industrie","Aktien","3.552.726,40","0,04","3.552.726,40","15.637,00","227,20","Belgien","Nyse Euronext - Euronext Brussels","EUR"
"NIBE B","NIBE INDUSTRIER CLASS B","Industrie","Aktien","3.542.965,29","0,04","3.542.965,29","1.104.139,00","3,21","Schweden","Nasdaq Omx Nordic","SEK"
"WTB","WHITBREAD PLC","Zyklische Konsumgüter ","Aktien","3.532.003,52","0,04","3.532.003,52","132.203,00","26,72","Vereinigtes Königreich","London Stock Exchange","GBP"
"JYSK","JYSKE BANK","Financials","Aktien","3.517.567,63","0,04","3.517.567,63","32.278,00","108,98","Dänemark","Omx Nordic Exchange Copenhagen A/S","DKK"
"NEX","NEXANS SA","Industrie","Aktien","3.495.532,10","0,04","3.495.532,10","27.373,00","127,70","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"MRL","MERLIN PROPERTIES REIT SA","Immobilien","Aktien","3.490.909,80","0,04","3.490.909,80","286.610,00","12,18","Spanien","Bolsa De Madrid","EUR"
"IPN","IPSEN SA","Gesundheitsversorgung","Aktien","3.489.237,00","0,04","3.489.237,00","28.718,00","121,50","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"DNP","DINO POLSKA SA","Nichtzyklische Konsumgüter","Aktien","3.474.571,05","0,04","3.474.571,05","364.742,00","9,53","Polen","Warsaw Stock Exchange/Equities/Main Market","PLN"
"RBI","RAIFFEISEN BANK INTERNATIONAL AG","Financials","Aktien","3.472.165,48","0,04","3.472.165,48","94.661,00","36,68","Österreich","Wiener Boerse Ag","EUR"
"GET","GETLINK","Industrie","Aktien","3.449.231,49","0,04","3.449.231,49","227.973,00","15,13","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"BLND","BRITISH LAND REIT PLC","Immobilien","Aktien","3.439.230,56","0,04","3.439.230,56","788.525,00","4,36","Vereinigtes Königreich","London Stock Exchange","GBP"
"EDEN","EDENRED","Financials","Aktien","3.426.430,11","0,04","3.426.430,11","189.201,00","18,11","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"LEG","LEG IMMOBILIEN N","Immobilien","Aktien","3.417.370,50","0,04","3.417.370,50","55.567,00","61,50","Deutschland","Xetra","EUR"
"AAK","AAK","Nichtzyklische Konsumgüter","Aktien","3.416.511,87","0,04","3.416.511,87","142.182,00","24,03","Schweden","Nasdaq Omx Nordic","SEK"
"ISS","ISS A S","Industrie","Aktien","3.412.351,30","0,04","3.412.351,30","124.455,00","27,42","Dänemark","Omx Nordic Exchange Copenhagen A/S","DKK"
"TUB","FINANCIERE DE TUBIZE SA","Gesundheitsversorgung","Aktien","3.407.616,00","0,04","3.407.616,00","15.776,00","216,00","Belgien","Nyse Euronext - Euronext Brussels","EUR"
"BARN","BARRY CALLEBAUT AG","Nichtzyklische Konsumgüter","Aktien","3.399.407,73","0,04","3.399.407,73","2.692,00","1.262,77","Schweiz","SIX Swiss Exchange","CHF"
"SPL","SANTANDER BANK POLSKA SA","Financials","Aktien","3.384.581,17","0,04","3.384.581,17","28.745,00","117,75","Polen","Warsaw Stock Exchange/Equities/Main Market","PLN"
"RED","REDEIA CORPORACION SA","Versorger","Aktien","3.328.940,79","0,04","3.328.940,79","223.269,00","14,91","Spanien","Bolsa De Madrid","EUR"
"VOE","VOESTALPINE AG","Materialien","Aktien","3.322.982,40","0,04","3.322.982,40","86.536,00","38,40","Österreich","Wiener Boerse Ag","EUR"
"BZU","BUZZI","Materialien","Aktien","3.321.115,20","0,04","3.321.115,20","65.312,00","50,85","Italien","Borsa Italiana","EUR"
"ANA","ACCIONA SA","Versorger","Aktien","3.320.304,00","0,04","3.320.304,00","18.780,00","176,80","Spanien","Bolsa De Madrid","EUR"
"TKA","THYSSENKRUPP AG","Materialien","Aktien","3.316.521,63","0,04","3.316.521,63","371.391,00","8,93","Deutschland","Xetra","EUR"
"IMCD","IMCD NV","Industrie","Aktien","3.315.612,60","0,04","3.315.612,60","44.927,00","73,80","Niederlande","Euronext Amsterdam","EUR"
"CTEC","CONVATEC GROUP PLC","Gesundheitsversorgung","Aktien","3.296.341,39","0,04","3.296.341,39","1.274.767,00","2,59","Vereinigtes Königreich","London Stock Exchange","GBP"
"TEMN","TEMENOS AG","IT","Aktien","3.286.224,41","0,04","3.286.224,41","40.619,00","80,90","Schweiz","SIX Swiss Exchange","CHF"
"ZEAL","ZEALAND PHARMA","Gesundheitsversorgung","Aktien","3.286.569,60","0,04","3.286.569,60","47.947,00","68,55","Dänemark","Omx Nordic Exchange Copenhagen A/S","DKK"
"SAVE","NORDNET","Financials","Aktien","3.276.423,14","0,04","3.276.423,14","135.520,00","24,18","Schweden","Nasdaq Omx Nordic","SEK"
"IDR","INDRA SISTEMAS SA","IT","Aktien","3.273.778,48","0,04","3.273.778,48","66.244,00","49,42","Spanien","Bolsa De Madrid","EUR"
"HAG","HENSOLDT AG","Industrie","Aktien","3.264.457,50","0,04","3.264.457,50","45.027,00","72,50","Deutschland","Xetra","EUR"
"BKG","BERKELEY GROUP HOLDINGS (THE) PLC","Zyklische Konsumgüter ","Aktien","3.257.333,60","0,04","3.257.333,60","77.026,00","42,29","Vereinigtes Königreich","London Stock Exchange","GBP"
"AZA","AVANZA BANK HOLDING","Financials","Aktien","3.228.057,65","0,03","3.228.057,65","99.854,00","32,33","Schweden","Nasdaq Omx Nordic","SEK"
"TE","TECHNIP ENERGIES NV","Energie","Aktien","3.224.572,24","0,03","3.224.572,24","100.894,00","31,96","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"SCR","SCOR","Financials","Aktien","3.212.966,34","0,03","3.212.966,34","119.619,00","26,86","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"SDR","SCHRODERS PLC","Financials","Aktien","3.205.233,73","0,03","3.205.233,73","724.611,00","4,42","Vereinigtes Königreich","London Stock Exchange","GBP"
"AMUN","AMUNDI SA","Financials","Aktien","3.185.371,20","0,03","3.185.371,20","47.472,00","67,10","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"GETI B","GETINGE B","Gesundheitsversorgung","Aktien","3.176.263,00","0,03","3.176.263,00","166.814,00","19,04","Schweden","Nasdaq Omx Nordic","SEK"
"SUBC","SUBSEA SA","Energie","Aktien","3.174.618,51","0,03","3.174.618,51","190.211,00","16,69","Norwegen","Oslo Bors Asa","NOK"
"CAST","CASTELLUM","Immobilien","Aktien","3.175.241,81","0,03","3.175.241,81","330.480,00","9,61","Schweden","Nasdaq Omx Nordic","SEK"
"VER","VERBUND AG","Versorger","Aktien","3.171.318,30","0,03","3.171.318,30","51.399,00","61,70","Österreich","Wiener Boerse Ag","EUR"
"ALSYDB","AL SYDBANK","Financials","Aktien","3.168.998,82","0,03","3.168.998,82","41.895,00","75,64","Dänemark","Omx Nordic Exchange Copenhagen A/S","DKK"
"SSAB B","SSAB CLASS B","Materialien","Aktien","3.166.896,97","0,03","3.166.896,97","489.113,00","6,47","Schweden","Nasdaq Omx Nordic","SEK"
"GF","GEORG FISCHER AG","Industrie","Aktien","3.164.207,51","0,03","3.164.207,51","56.266,00","56,24","Schweiz","SIX Swiss Exchange","CHF"
"SOF","SOFINA SA","Financials","Aktien","3.134.966,40","0,03","3.134.966,40","13.128,00","238,80","Belgien","Nyse Euronext - Euronext Brussels","EUR"
"BALD B","FASTIGHETS BALDER CLASS B","Immobilien","Aktien","3.131.803,95","0,03","3.131.803,95","518.232,00","6,04","Schweden","Nasdaq Omx Nordic","SEK"
"VEND","VEND MARKETPLACES ASA","Kommunikation","Aktien","3.121.666,42","0,03","3.121.666,42","130.306,00","23,96","Norwegen","Oslo Bors Asa","NOK"
"BMED","BANCA MEDIOLANUM","Financials","Aktien","3.115.184,10","0,03","3.115.184,10","167.034,00","18,65","Italien","Borsa Italiana","EUR"
"SAGA B","SAGAX CLASS B","Immobilien","Aktien","3.093.372,51","0,03","3.093.372,51","169.950,00","18,20","Schweden","Nasdaq Omx Nordic","SEK"
"TW.","TAYLOR WIMPEY PLC","Zyklische Konsumgüter ","Aktien","3.093.398,21","0,03","3.093.398,21","2.713.371,00","1,14","Vereinigtes Königreich","London Stock Exchange","GBP"
"ELIS","ELIS SA","Industrie","Aktien","3.085.636,14","0,03","3.085.636,14","132.887,00","23,22","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"LMP","LONDONMETRIC PROPERTY REIT PLC","Immobilien","Aktien","3.066.015,49","0,03","3.066.015,49","1.480.481,00","2,07","Vereinigtes Königreich","London Stock Exchange","GBP"
"WDP","WAREHOUSES DE PAUW NV","Immobilien","Aktien","3.061.124,28","0,03","3.061.124,28","147.453,00","20,76","Belgien","Nyse Euronext - Euronext Brussels","EUR"
"ANDR","ANDRITZ AG","Industrie","Aktien","3.048.123,60","0,03","3.048.123,60","48.537,00","62,80","Österreich","Wiener Boerse Ag","EUR"
"ABDN","ABERDEEN GROUP PLC","Financials","Aktien","3.048.540,31","0,03","3.048.540,31","1.360.775,00","2,24","Vereinigtes Königreich","London Stock Exchange","GBP"
"VALMT","VALMET","Industrie","Aktien","3.040.677,36","0,03","3.040.677,36","114.916,00","26,46","Finnland","Nasdaq Omx Helsinki Ltd.","EUR"
"EMSN","EMS-CHEMIE HOLDING AG","Materialien","Aktien","3.009.983,05","0,03","3.009.983,05","5.228,00","575,74","Schweiz","SIX Swiss Exchange","CHF"
"ALK B","ALK-ABELLO CLASS B","Gesundheitsversorgung","Aktien","3.000.054,12","0,03","3.000.054,12","99.506,00","30,15","Dänemark","Omx Nordic Exchange Copenhagen A/S","DKK"
"IP","INTERPUMP GROUP","Industrie","Aktien","2.972.352,80","0,03","2.972.352,80","67.096,00","44,30","Italien","Borsa Italiana","EUR"
"CRDA","CRODA INTERNATIONAL PLC","Materialien","Aktien","2.963.604,36","0,03","2.963.604,36","97.338,00","30,45","Vereinigtes Königreich","London Stock Exchange","GBP"
"SALM","SALMAR","Nichtzyklische Konsumgüter","Aktien","2.947.334,41","0,03","2.947.334,41","57.400,00","51,35","Norwegen","Oslo Bors Asa","NOK"
"JMAT","JOHNSON MATTHEY PLC","Materialien","Aktien","2.941.573,80","0,03","2.941.573,80","128.161,00","22,95","Vereinigtes Königreich","London Stock Exchange","GBP"
"CDR","CD PROJEKT SA","Kommunikation","Aktien","2.927.795,86","0,03","2.927.795,86","50.410,00","58,08","Polen","Warsaw Stock Exchange/Equities/Main Market","PLN"
"SECT B","SECTRA CLASS B","Gesundheitsversorgung","Aktien","2.919.880,33","0,03","2.919.880,33","116.165,00","25,14","Schweden","Nasdaq Omx Nordic","SEK"
"AZM","AZIMUT HOLDING","Financials","Aktien","2.912.936,12","0,03","2.912.936,12","81.572,00","35,71","Italien","Borsa Italiana","EUR"
"WPP","WPP PLC","Kommunikation","Aktien","2.903.510,59","0,03","2.903.510,59","797.750,00","3,64","Vereinigtes Königreich","London Stock Exchange","GBP"
"A2A","A2A","Versorger","Aktien","2.883.561,62","0,03","2.883.561,62","1.268.057,00","2,27","Italien","Borsa Italiana","EUR"
"MNDI","MONDI PLC","Materialien","Aktien","2.876.793,05","0,03","2.876.793,05","290.401,00","9,91","Vereinigtes Königreich","London Stock Exchange","GBP"
"SW","SODEXO SA","Zyklische Konsumgüter ","Aktien","2.874.057,12","0,03","2.874.057,12","64.383,00","44,64","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"BGEO","LION FINANCE GROUP PLC","Financials","Aktien","2.860.911,36","0,03","2.860.911,36","26.771,00","106,87","Vereinigtes Königreich","London Stock Exchange","GBP"
"ADEN","ADECCO GROUP AG","Industrie","Aktien","2.846.657,37","0,03","2.846.657,37","126.428,00","22,52","Schweiz","SIX Swiss Exchange","CHF"
"MAP","MAPFRE SA","Financials","Aktien","2.837.460,47","0,03","2.837.460,47","701.647,00","4,04","Spanien","Bolsa De Madrid","EUR"
"SB1NO","SPAREBANK SR-NORGE","Financials","Aktien","2.837.000,97","0,03","2.837.000,97","181.088,00","15,67","Norwegen","Oslo Bors Asa","NOK"
"GFC","GECINA SA","Immobilien","Aktien","2.829.944,40","0,03","2.829.944,40","35.913,00","78,80","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"BC8","BECHTLE AG","IT","Aktien","2.820.648,46","0,03","2.820.648,46","65.627,00","42,98","Deutschland","Xetra","EUR"
"BKW","BKW N AG","Versorger","Aktien","2.814.316,88","0,03","2.814.316,88","15.871,00","177,32","Schweiz","SIX Swiss Exchange","CHF"
"EDPR","EDP RENOVAVEIS SA","Versorger","Aktien","2.807.259,98","0,03","2.807.259,98","240.142,00","11,69","Portugal","Nyse Euronext - Euronext Lisbon","EUR"
"LUND B","LUNDBERGFORETAGEN CLASS B","Financials","Aktien","2.780.618,03","0,03","2.780.618,03","60.971,00","45,61","Schweden","Nasdaq Omx Nordic","SEK"
"CVC","CVC CAPITAL PARTNERS PLC","Financials","Aktien","2.774.809,71","0,03","2.774.809,71","200.637,00","13,83","Niederlande","Euronext Amsterdam","EUR"
"LAGR B","LAGERCRANTZ GROUP CLASS B","IT","Aktien","2.767.365,24","0,03","2.767.365,24","144.291,00","19,18","Schweden","Nasdaq Omx Nordic","SEK"
"FNTN","FREENET AG","Kommunikation","Aktien","2.750.765,20","0,03","2.750.765,20","97.892,00","28,10","Deutschland","Xetra","EUR"
"ITV","ITV PLC","Kommunikation","Aktien","2.749.155,18","0,03","2.749.155,18","2.917.714,00","0,94","Vereinigtes Königreich","London Stock Exchange","GBP"
"TUI1","TUI N AG","Zyklische Konsumgüter ","Aktien","2.719.796,36","0,03","2.719.796,36","338.199,00","8,04","Vereinigtes Königreich","Xetra","EUR"
"IVG","IVECO GROUP NV","Industrie","Aktien","2.718.016,88","0,03","2.718.016,88","145.232,00","18,72","Italien","Borsa Italiana","EUR"
"ALLN","ALLREAL HOLDING AG","Immobilien","Aktien","2.713.595,18","0,03","2.713.595,18","12.977,00","209,11","Schweiz","SIX Swiss Exchange","CHF"
"BBOX","TRITAX BIG BOX REIT PLC","Immobilien","Aktien","2.705.957,38","0,03","2.705.957,38","1.645.778,00","1,64","Vereinigtes Königreich","London Stock Exchange","GBP"
"NDX1","NORDEX","Industrie","Aktien","2.680.596,00","0,03","2.680.596,00","94.056,00","28,50","Deutschland","Xetra","EUR"
"MSIFT","CASH COLLATERAL EUR MSIFT","Cash und/oder Derivate","Cash Collateral and Margins","2.667.000,00","0,03","2.667.000,00","2.667.000,00","100,00","Europäische Union","-","EUR"
"INCH","INCHCAPE PLC","Zyklische Konsumgüter ","Aktien","2.665.134,50","0,03","2.665.134,50","307.702,00","8,66","Vereinigtes Königreich","London Stock Exchange","GBP"
"NTGY","NATURGY ENERGY GROUP SA","Versorger","Aktien","2.647.130,40","0,03","2.647.130,40","101.190,00","26,16","Spanien","Bolsa De Madrid","EUR"
"ZEG","ZEGONA COMMUNICATIONS PLC","Kommunikation","Aktien","2.611.889,52","0,03","2.611.889,52","168.470,00","15,50","Vereinigtes Königreich","London Stock Exchange","GBP"
"HER","HERA","Versorger","Aktien","2.604.927,84","0,03","2.604.927,84","657.478,00","3,96","Italien","Borsa Italiana","EUR"
"AG1","AUTO1 GROUP","Zyklische Konsumgüter ","Aktien","2.603.300,64","0,03","2.603.300,64","102.331,00","25,44","Deutschland","Xetra","EUR"
"BC","BRUNELLO CUCINELLI","Zyklische Konsumgüter ","Aktien","2.588.617,82","0,03","2.588.617,82","27.757,00","93,26","Italien","Borsa Italiana","EUR"
"BWY","BELLWAY PLC","Zyklische Konsumgüter ","Aktien","2.585.378,75","0,03","2.585.378,75","85.851,00","30,11","Vereinigtes Königreich","London Stock Exchange","GBP"
"RAA","RATIONAL AG","Industrie","Aktien","2.576.496,00","0,03","2.576.496,00","4.129,00","624,00","Deutschland","Xetra","EUR"
"CPR","DAVIDE CAMPARI MILANO NV","Nichtzyklische Konsumgüter","Aktien","2.574.048,86","0,03","2.574.048,86","449.537,00","5,73","Italien","Borsa Italiana","EUR"
"BOL","BOLLORE","Kommunikation","Aktien","2.561.858,01","0,03","2.561.858,01","558.139,00","4,59","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"GBF","BILFINGER","Industrie","Aktien","2.551.731,20","0,03","2.551.731,20","24.256,00","105,20","Deutschland","Xetra","EUR"
"SRP","SERCO GROUP PLC","Industrie","Aktien","2.551.130,67","0,03","2.551.130,67","864.882,00","2,95","Vereinigtes Königreich","London Stock Exchange","GBP"
"INVP","INVESTEC PLC","Financials","Aktien","2.548.586,36","0,03","2.548.586,36","419.086,00","6,08","Vereinigtes Königreich","London Stock Exchange","GBP"
"GRF","GRIFOLS SA CLASS A","Gesundheitsversorgung","Aktien","2.537.459,67","0,03","2.537.459,67","237.035,00","10,71","Spanien","Bolsa De Madrid","EUR"
"NDA","AURUBIS AG","Materialien","Aktien","2.524.909,80","0,03","2.524.909,80","21.729,00","116,20","Deutschland","Xetra","EUR"
"SBMO","SBM OFFSHORE NV","Energie","Aktien","2.504.295,42","0,03","2.504.295,42","102.551,00","24,42","Niederlande","Euronext Amsterdam","EUR"
"SPM","SAIPEM","Energie","Aktien","2.502.685,21","0,03","2.502.685,21","1.045.399,00","2,39","Italien","Borsa Italiana","EUR"
"RAND","RANDSTAD HOLDING","Industrie","Aktien","2.481.754,41","0,03","2.481.754,41","79.467,00","31,23","Niederlande","Euronext Amsterdam","EUR"
"DRX","DRAX GROUP PLC","Versorger","Aktien","2.481.006,83","0,03","2.481.006,83","284.938,00","8,71","Vereinigtes Königreich","London Stock Exchange","GBP"
"TEP","TELEPERFORMANCE","Industrie","Aktien","2.479.730,76","0,03","2.479.730,76","42.201,00","58,76","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"BGN","BANCA GENERALI","Financials","Aktien","2.473.351,35","0,03","2.473.351,35","44.049,00","56,15","Italien","Borsa Italiana","EUR"
