Fondsposition per,"18.Nov.2025"
 
Emittententicker,Name,Sektor,Anlageklasse,Marktwert,Gewichtung (%),Nominalwert,Nominale,Kurs,Standort,Börse,Marktwährung
"ENGI","ENGIE SA","Versorger","Aktien","31.614.453,30","0,35","31.614.453,30","1.440.294,00","21,95","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"LONN","LONZA GROUP AG","Gesundheitsversorgung","Aktien","31.292.631,38","0,34","31.292.631,38","54.690,00","572,18","Schweiz","SIX Swiss Exchange","CHF"
"HOLN","HOLCIM LTD AG","Materialien","Aktien","30.859.054,99","0,34","30.859.054,99","410.071,00","75,25","Schweiz","SIX Swiss Exchange","CHF"
"SGO","COMPAGNIE DE SAINT GOBAIN SA","Industrie","Aktien","30.827.701,44","0,34","30.827.701,44","385.732,00","79,92","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"DB1","DEUTSCHE BOERSE AG","Financials","Aktien","30.561.358,10","0,34","30.561.358,10","146.017,00","209,30","Deutschland","Xetra","EUR"
"GLEN","GLENCORE PLC","Materialien","Aktien","30.302.852,48","0,33","30.302.852,48","7.508.155,00","4,04","Vereinigtes Königreich","London Stock Exchange","GBP"
"DHL","DEUTSCHE POST AG","Industrie","Aktien","30.283.628,73","0,33","30.283.628,73","719.497,00","42,09","Deutschland","Xetra","EUR"
"ADYEN","ADYEN NV","Financials","Aktien","30.117.288,40","0,33","30.117.288,40","22.882,00","1.316,20","Niederlande","Euronext Amsterdam","EUR"
"VOLV B","VOLVO CLASS B","Industrie","Aktien","29.153.544,04","0,32","29.153.544,04","1.228.474,00","23,73","Schweden","Nasdaq Omx Nordic","SEK"
"BAS","BASF N","Materialien","Aktien","28.999.325,20","0,32","28.999.325,20","692.108,00","41,90","Deutschland","Xetra","EUR"
"HLN","HALEON PLC","Gesundheitsversorgung","Aktien","28.506.308,82","0,31","28.506.308,82","6.853.928,00","4,16","Vereinigtes Königreich","London Stock Exchange","GBP"
"DSV","DSV","Industrie","Aktien","27.919.010,30","0,31","27.919.010,30","153.438,00","181,96","Dänemark","Omx Nordic Exchange Copenhagen A/S","DKK"
"III","3I GROUP PLC","Financials","Aktien","27.796.940,67","0,31","27.796.940,67","747.697,00","37,18","Vereinigtes Königreich","London Stock Exchange","GBP"
"ENI","ENI","Energie","Aktien","27.173.348,62","0,30","27.173.348,62","1.664.014,00","16,33","Italien","Borsa Italiana","EUR"
"G","ASSICURAZIONI GENERALI","Financials","Aktien","27.173.539,40","0,30","27.173.539,40","829.220,00","32,77","Italien","Borsa Italiana","EUR"
"ATCO A","ATLAS COPCO CLASS A","Industrie","Aktien","27.153.630,75","0,30","27.153.630,75","1.986.276,00","13,67","Schweden","Nasdaq Omx Nordic","SEK"
"EOAN","E.ON N","Versorger","Aktien","26.471.523,31","0,29","26.471.523,31","1.720.606,00","15,39","Deutschland","Xetra","EUR"
"EXPN","EXPERIAN PLC","Industrie","Aktien","26.125.002,67","0,29","26.125.002,67","699.734,00","37,34","Vereinigtes Königreich","London Stock Exchange","GBP"
"STAN","STANDARD CHARTERED PLC","Financials","Aktien","26.068.741,95","0,29","26.068.741,95","1.470.187,00","17,73","Vereinigtes Königreich","London Stock Exchange","GBP"
"AAL","ANGLO AMERICAN PLC","Materialien","Aktien","25.987.834,49","0,29","25.987.834,49","841.307,00","30,89","Vereinigtes Königreich","London Stock Exchange","GBP"
"LR","LEGRAND SA","Industrie","Aktien","25.743.977,90","0,28","25.743.977,90","202.549,00","127,10","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"TSCO","TESCO PLC","Nichtzyklische Konsumgüter","Aktien","25.558.040,86","0,28","25.558.040,86","5.105.791,00","5,01","Vereinigtes Königreich","London Stock Exchange","GBP"
"ALC","ALCON AG","Gesundheitsversorgung","Aktien","25.144.414,20","0,28","25.144.414,20","387.981,00","64,81","Schweiz","SIX Swiss Exchange","CHF"
"CABK","CAIXABANK SA","Financials","Aktien","25.141.111,81","0,28","25.141.111,81","2.790.976,00","9,01","Spanien","Bolsa De Madrid","EUR"
"AD","KONINKLIJKE AHOLD DELHAIZE NV","Nichtzyklische Konsumgüter","Aktien","24.921.290,94","0,27","24.921.290,94","702.206,00","35,49","Niederlande","Euronext Amsterdam","EUR"
"ASSA B","ASSA ABLOY B","Industrie","Aktien","23.756.022,48","0,26","23.756.022,48","761.275,00","31,21","Schweden","Nasdaq Omx Nordic","SEK"
"RWE","RWE AG","Versorger","Aktien","23.186.620,83","0,25","23.186.620,83","517.443,00","44,81","Deutschland","Xetra","EUR"
"PRU","PRUDENTIAL PLC","Financials","Aktien","22.423.557,37","0,25","22.423.557,37","1.890.866,00","11,86","Vereinigtes Königreich","London Stock Exchange","GBP"
"GIVN","GIVAUDAN SA","Materialien","Aktien","22.350.127,98","0,25","22.350.127,98","6.264,00","3.568,03","Schweiz","SIX Swiss Exchange","CHF"
"NOKIA","NOKIA","IT","Aktien","22.226.297,76","0,24","22.226.297,76","3.938.040,00","5,64","Finnland","Nasdaq Omx Helsinki Ltd.","EUR"
"UCB","UCB SA","Gesundheitsversorgung","Aktien","21.876.828,00","0,24","21.876.828,00","95.951,00","228,00","Belgien","Nyse Euronext - Euronext Brussels","EUR"
"AMS","AMADEUS IT GROUP SA","Zyklische Konsumgüter ","Aktien","21.836.242,48","0,24","21.836.242,48","350.389,00","62,32","Spanien","Bolsa De Madrid","EUR"
"IMB","IMPERIAL BRANDS PLC","Nichtzyklische Konsumgüter","Aktien","21.708.087,34","0,24","21.708.087,34","592.415,00","36,64","Vereinigtes Königreich","London Stock Exchange","GBP"
"SSE","SSE PLC","Versorger","Aktien","21.450.607,69","0,24","21.450.607,69","849.155,00","25,26","Vereinigtes Königreich","London Stock Exchange","GBP"
"ORA","ORANGE SA","Kommunikation","Aktien","21.331.270,88","0,23","21.331.270,88","1.528.028,00","13,96","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"EQT","EQT","Financials","Aktien","21.037.063,96","0,23","21.037.063,96","728.713,00","28,87","Schweden","Nasdaq Omx Nordic","SEK"
"BAYN","BAYER AG","Gesundheitsversorgung","Aktien","20.905.342,85","0,23","20.905.342,85","763.805,00","27,37","Deutschland","Xetra","EUR"
"SAND","SANDVIK","Industrie","Aktien","20.740.079,32","0,23","20.740.079,32","823.169,00","25,20","Schweden","Nasdaq Omx Nordic","SEK"
"FER","FERROVIAL","Industrie","Aktien","20.677.539,80","0,23","20.677.539,80","384.770,00","53,74","Spanien","Bolsa De Madrid","EUR"
"EBS","ERSTE GROUP BANK AG","Financials","Aktien","20.533.348,05","0,23","20.533.348,05","233.201,00","88,05","Österreich","Wiener Boerse Ag","EUR"
"HEI","HEIDELBERG MATERIALS AG","Materialien","Aktien","20.527.312,00","0,23","20.527.312,00","98.689,00","208,00","Deutschland","Xetra","EUR"
"ADS","ADIDAS N AG","Zyklische Konsumgüter ","Aktien","20.395.135,80","0,22","20.395.135,80","132.522,00","153,90","Deutschland","Xetra","EUR"
"SLHN","SWISS LIFE HOLDING AG","Financials","Aktien","20.308.472,46","0,22","20.308.472,46","22.134,00","917,52","Schweiz","SIX Swiss Exchange","CHF"
"SDZ","SANDOZ GROUP AG","Gesundheitsversorgung","Aktien","20.083.639,08","0,22","20.083.639,08","344.747,00","58,26","Schweiz","SIX Swiss Exchange","CHF"
"SIKA","SIKA AG","Materialien","Aktien","20.059.416,32","0,22","20.059.416,32","125.186,00","160,24","Schweiz","SIX Swiss Exchange","CHF"
"SEB A","SKANDINAVISKA ENSKILDA BANKEN","Financials","Aktien","19.653.592,25","0,22","19.653.592,25","1.222.573,00","16,08","Schweden","Nasdaq Omx Nordic","SEK"
"DANSKE","DANSKE BANK","Financials","Aktien","19.390.739,28","0,21","19.390.739,28","508.340,00","38,15","Dänemark","Omx Nordic Exchange Copenhagen A/S","DKK"
"SAMPO","SAMPO CLASS A","Financials","Aktien","19.112.318,44","0,21","19.112.318,44","1.939.943,00","9,85","Finnland","Nasdaq Omx Helsinki Ltd.","EUR"
"PRY","PRYSMIAN","Industrie","Aktien","18.592.602,00","0,20","18.592.602,00","229.425,00","81,04","Italien","Borsa Italiana","EUR"
"ERIC B","ERICSSON B","IT","Aktien","18.463.672,84","0,20","18.463.672,84","2.247.279,00","8,22","Schweden","Nasdaq Omx Nordic","SEK"
"BMW","BMW AG","Zyklische Konsumgüter ","Aktien","18.446.059,44","0,20","18.446.059,44","217.884,00","84,66","Deutschland","Xetra","EUR"
"CBK","COMMERZBANK AG","Financials","Aktien","18.423.062,30","0,20","18.423.062,30","587.845,00","31,34","Deutschland","Xetra","EUR"
"UMG","UNIVERSAL MUSIC GROUP NV","Kommunikation","Aktien","18.377.786,96","0,20","18.377.786,96","851.612,00","21,58","Niederlande","Euronext Amsterdam","EUR"
"SWED A","SWEDBANK","Financials","Aktien","18.308.923,34","0,20","18.308.923,34","706.534,00","25,91","Schweden","Nasdaq Omx Nordic","SEK"
"KBC","KBC GROEP","Financials","Aktien","18.039.092,45","0,20","18.039.092,45","173.203,00","104,15","Belgien","Nyse Euronext - Euronext Brussels","EUR"
"KNEBV","KONE","Industrie","Aktien","17.840.810,16","0,20","17.840.810,16","313.657,00","56,88","Finnland","Nasdaq Omx Helsinki Ltd.","EUR"
"HO","THALES SA","Industrie","Aktien","17.793.226,80","0,20","17.793.226,80","74.511,00","238,80","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"AHT","ASHTEAD GROUP PLC","Industrie","Aktien","17.630.747,73","0,19","17.630.747,73","335.409,00","52,56","Vereinigtes Königreich","London Stock Exchange","GBP"
"ASM","ASM INTERNATIONAL NV","IT","Aktien","17.525.403,60","0,19","17.525.403,60","35.898,00","488,20","Niederlande","Euronext Amsterdam","EUR"
"PGHN","PARTNERS GROUP HOLDING AG","Financials","Aktien","17.281.456,47","0,19","17.281.456,47","17.449,00","990,40","Schweiz","SIX Swiss Exchange","CHF"
"GEBN","GEBERIT AG","Industrie","Aktien","17.263.270,34","0,19","17.263.270,34","26.540,00","650,46","Schweiz","SIX Swiss Exchange","CHF"
"KER","KERING SA","Zyklische Konsumgüter ","Aktien","17.219.923,20","0,19","17.219.923,20","55.584,00","309,80","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"AMRZ","AMRIZE AG","Materialien","Aktien","17.161.939,20","0,19","17.161.939,20","419.470,00","40,91","Schweiz","SIX Swiss Exchange","CHF"
"WKL","WOLTERS KLUWER NV","Industrie","Aktien","16.863.462,74","0,19","16.863.462,74","186.419,00","90,46","Niederlande","Euronext Amsterdam","EUR"
"AV.","AVIVA PLC","Financials","Aktien","16.845.626,41","0,18","16.845.626,41","2.317.973,00","7,27","Vereinigtes Königreich","London Stock Exchange","GBP"
"CAP","CAPGEMINI","IT","Aktien","16.704.540,00","0,18","16.704.540,00","131.016,00","127,50","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"RYA","RYANAIR HOLDINGS PLC","Industrie","Aktien","16.616.232,20","0,18","16.616.232,20","646.546,00","25,70","Irland","Irish Stock Exchange - All Market","EUR"
"GALD","GALDERMA GROUP N AG","Gesundheitsversorgung","Aktien","16.520.335,53","0,18","16.520.335,53","104.653,00","157,86","Schweiz","SIX Swiss Exchange","CHF"
"VOD","VODAFONE GROUP PLC","Kommunikation","Aktien","15.994.272,08","0,18","15.994.272,08","15.148.419,00","1,06","Vereinigtes Königreich","London Stock Exchange","GBP"
"VWS","VESTAS WIND SYSTEMS","Industrie","Aktien","15.951.935,18","0,18","15.951.935,18","789.806,00","20,20","Dänemark","Omx Nordic Exchange Copenhagen A/S","DKK"
"HEXA B","HEXAGON CLASS B","IT","Aktien","15.729.402,12","0,17","15.729.402,12","1.592.933,00","9,87","Schweden","Nasdaq Omx Nordic","SEK"
"LDO","LEONARDO FINMECCANICA SPA","Industrie","Aktien","15.667.124,88","0,17","15.667.124,88","312.343,00","50,16","Italien","Borsa Italiana","EUR"
"PUB","PUBLICIS GROUPE SA","Kommunikation","Aktien","15.453.840,78","0,17","15.453.840,78","183.059,00","84,42","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"FRE","FRESENIUS SE AND CO KGAA","Gesundheitsversorgung","Aktien","15.406.002,56","0,17","15.406.002,56","324.064,00","47,54","Deutschland","Xetra","EUR"
"VIE","VEOLIA ENVIRON. SA","Versorger","Aktien","15.261.146,20","0,17","15.261.146,20","533.420,00","28,61","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"HEIA","HEINEKEN NV","Nichtzyklische Konsumgüter","Aktien","15.222.840,60","0,17","15.222.840,60","222.882,00","68,30","Niederlande","Euronext Amsterdam","EUR"
"VOW3","VOLKSWAGEN NON-VOTING PREF AG","Zyklische Konsumgüter ","Aktien","15.210.429,90","0,17","15.210.429,90","160.617,00","94,70","Deutschland","Xetra","EUR"
"ML","MICHELIN","Zyklische Konsumgüter ","Aktien","15.150.631,72","0,17","15.150.631,72","549.334,00","27,58","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"REP","REPSOL SA","Energie","Aktien","14.952.631,95","0,16","14.952.631,95","892.961,00","16,75","Spanien","Bolsa De Madrid","EUR"
"MTX","MTU AERO ENGINES HOLDING AG","Industrie","Aktien","14.777.832,40","0,16","14.777.832,40","41.828,00","353,30","Deutschland","Xetra","EUR"
"DNB","DNB BANK","Financials","Aktien","14.714.189,12","0,16","14.714.189,12","662.613,00","22,21","Norwegen","Oslo Bors Asa","NOK"
"DTG","DAIMLER TRUCK HOLDING E AG","Industrie","Aktien","14.614.250,36","0,16","14.614.250,36","421.646,00","34,66","Deutschland","Xetra","EUR"
"PHIA","KONINKLIJKE PHILIPS NV","Gesundheitsversorgung","Aktien","14.366.317,14","0,16","14.366.317,14","606.942,00","23,67","Niederlande","Euronext Amsterdam","EUR"
"BMPS","BANCA MONTE DEI PASCHI DI SIENA SP","Financials","Aktien","14.343.861,98","0,16","14.343.861,98","1.705.775,00","8,41","Italien","Borsa Italiana","EUR"
"NSIS B","NOVOZYMES B","Materialien","Aktien","14.281.968,29","0,16","14.281.968,29","266.474,00","53,60","Dänemark","Omx Nordic Exchange Copenhagen A/S","DKK"
"VNA","VONOVIA SE","Immobilien","Aktien","14.147.264,82","0,16","14.147.264,82","548.769,00","25,78","Deutschland","Xetra","EUR"
"ACA","CREDIT AGRICOLE SA","Financials","Aktien","13.901.304,36","0,15","13.901.304,36","875.397,00","15,88","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"NXT","NEXT PLC","Zyklische Konsumgüter ","Aktien","13.896.446,82","0,15","13.896.446,82","88.575,00","156,89","Vereinigtes Königreich","London Stock Exchange","GBP"
"SHB A","SVENSKA HANDELSBANKEN-A SHS","Financials","Aktien","13.752.285,80","0,15","13.752.285,80","1.220.235,00","11,27","Schweden","Nasdaq Omx Nordic","SEK"
"STLAM","STELLANTIS NV","Zyklische Konsumgüter ","Aktien","13.025.271,98","0,14","13.025.271,98","1.551.736,00","8,39","Italien","Borsa Italiana","EUR"
"AENA","AENA SME SA","Industrie","Aktien","12.949.338,60","0,14","12.949.338,60","577.065,00","22,44","Spanien","Bolsa De Madrid","EUR"
"DSY","DASSAULT SYSTEMES","IT","Aktien","12.933.141,92","0,14","12.933.141,92","557.944,00","23,18","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"GMAB","GENMAB","Gesundheitsversorgung","Aktien","12.900.271,94","0,14","12.900.271,94","50.287,00","256,53","Dänemark","Omx Nordic Exchange Copenhagen A/S","DKK"
"IHG","INTERCONTINENTAL HOTELS GROUP PLC","Zyklische Konsumgüter ","Aktien","12.806.023,92","0,14","12.806.023,92","118.511,00","108,06","Vereinigtes Königreich","London Stock Exchange","GBP"
