Emittententicker,Name,Sektor,Anlageklasse,Marktwert,Gewichtung (%),Nominalwert,Nominale,Kurs,Standort,Börse,Marktwährung,ISIN
VWS,VESTAS WIND SYSTEMS,Industrie,Aktien,"16.272.411,90","0,17","16.272.411,90","792.256,00","20,54",Dänemark,Omx Nordic Exchange Copenhagen A/S,DKK,DK0061539921
HEXA B,HEXAGON CLASS B,IT,Aktien,"16.237.011,68","0,17","16.237.011,68","1.597.883,00","10,16",Schweden,Nasdaq Omx Nordic,SEK,SE0015961909
DTG,DAIMLER TRUCK HOLDING E AG,Industrie,Aktien,"15.738.192,76","0,17","15.738.192,76","422.956,00","37,21",Deutschland,Xetra,EUR,DE000DTR0CK8
VIE,VEOLIA ENVIRON. SA,Versorger,Aktien,"15.704.598,00","0,17","15.704.598,00","535.080,00","29,35",Frankreich,Nyse Euronext - Euronext Paris,EUR,FR0000124141
VOW3,VOLKSWAGEN NON-VOTING PREF AG,Zyklische Konsumgüter ,Aktien,"15.638.016,02","0,17","15.638.016,02","161.117,00","97,06",Deutschland,Xetra,EUR,DE0007664039
ML,MICHELIN,Zyklische Konsumgüter ,Aktien,"15.429.232,00","0,17","15.429.232,00","551.044,00","28,00",Frankreich,Nyse Euronext - Euronext Paris,EUR,FR001400AJ45
HEIA,HEINEKEN NV,Nichtzyklische Konsumgüter,Aktien,"15.421.996,56","0,17","15.421.996,56","223.572,00","68,98",Niederlande,Euronext Amsterdam,EUR,NL0000009165
FRE,FRESENIUS SE AND CO KGAA,Gesundheitsversorgung,Aktien,"15.404.782,96","0,16","15.404.782,96","325.064,00","47,39",Deutschland,Xetra,EUR,DE0005785604
PUB,PUBLICIS GROUPE SA,Kommunikation,Aktien,"15.214.670,34","0,16","15.214.670,34","183.619,00","82,86",Frankreich,Nyse Euronext - Euronext Paris,EUR,FR0000130577
DNB,DNB BANK,Financials,Aktien,"15.103.845,51","0,16","15.103.845,51","664.673,00","22,72",Norwegen,Oslo Bors Asa,NOK,NO0010161896
BMPS,BANCA MONTE DEI PASCHI DI SIENA SP,Financials,Aktien,"14.934.262,60","0,16","14.934.262,60","1.711.075,00","8,73",Italien,Borsa Italiana,EUR,IT0005508921
MTX,MTU AERO ENGINES HOLDING AG,Industrie,Aktien,"14.874.111,00","0,16","14.874.111,00","41.958,00","354,50",Deutschland,Xetra,EUR,DE000A0D9PT0
PHIA,KONINKLIJKE PHILIPS NV,Gesundheitsversorgung,Aktien,"14.770.264,32","0,16","14.770.264,32","608.832,00","24,26",Niederlande,Euronext Amsterdam,EUR,NL0000009538
